Date,Order_dir,Quantity,Price
19/01/2023,SELL,1,589.850000
20/01/2023,SELL,1,592.200000
23/01/2023,SELL,1,600.450000
27/01/2023,SELL,1,539.950000
30/01/2023,SELL,1,538.200000
11/05/2023,BUY,1,573.450000
22/05/2023,BUY,1,577.150000
23/05/2023,BUY,1,581.600000
24/05/2023,BUY,1,582.700000
25/05/2023,BUY,1,581.250000
23/06/2023,SELL,1,554.600000
26/06/2023,SELL,1,557.050000
26/07/2023,BUY,1,615.150000
31/07/2023,BUY,1,620.200000
03/08/2023,BUY,1,590.500000
04/08/2023,BUY,1,573.300000
07/08/2023,BUY,1,567.900000
21/08/2023,BUY,1,571.700000
22/08/2023,BUY,1,568.500000
29/09/2023,SELL,1,598.550000
03/10/2023,SELL,1,602.950000
23/10/2023,SELL,1,552.950000
25/10/2023,SELL,1,556.200000
26/10/2023,SELL,1,547.000000
28/11/2023,BUY,1,564.450000
29/11/2023,BUY,1,568.600000
04/12/2023,BUY,1,594.700000
05/12/2023,BUY,1,608.250000
06/12/2023,BUY,1,608.450000
